@name @name Hätte ich nichts dagegen. Dann gucke ich lieber Mannschaften, in denen noch Ehrenmänner spielen und nicht solche Waschlappen wie bei "die Mannschaft".	OFFENSE	NOTHING
Wie weit kommt Deutschland?#WM2018 #DieMannschaft #GER #GERKSA #GERMEX	OTHER	NOTHING
Bin gerade aus dem Schlaf hochgeschreckt.  Hat eigentlich jemand die SPD zu ihrer Meinung zum Kompromiss von CDU und CSU gefragt?	OTHER	NOTHING
-Was gegen den Rechtsruck in den Medien und der Gesellschaft tun? -Warum sind Arroganz, Elitedenken, Nationalismus, Rassismus und blanker Hass wieder teil der deutschen Politiklandschaft? #AlternativefuerPlasberg	OTHER	NOTHING
"Herr #Seehofer stellt ständig die Machtrage, statt seine Arbeit zu machen [...] er nimmt das ganze Land in Geiselhaft." @name von der @name im @name Interview zum #Unionsstreit #Merkel http://	OTHER	NOTHING
Ist der Trog nur breit genug, fressen auch die zänkischsten Schweine friedlich nebeneinander. Mit dieser Art #Parteienfinanzierung legen Union/SPD ein weiteres Konjunkturprogramm für die #AfD auf. http://	OTHER	NOTHING
Wenn der Trottel #USA Präsident #Trump auf dem G7 seine Freunde mit Handlungen zu Feinden erklärt kann uns die USA mal kreuzweise.	OFFENSE	NOTHING
@name @name @name Merkel,Alkmeier und so einige mehr gehören vor den internationalen Gerichtshof für Menschenrechte und vors B-Verfassungsgericht!!!!	OFFENSE	NOTHING
Donald #Trump will die Verteidigung im #Weltraum zu einem eigenständigen Teil der US-Streitkräfte machen. http://^red	OTHER	NOTHING
Die #Vogelschiss -vorlage von #AfD #Gauland lässt sich hervorragend für Diskussionen mit Nazis verwenden. "Die Flüchtlinge kosten viel zu viel", "Das ist nur ein Vogelschiss angesichts der Ausgaben, die wir in den letzten 1000 Jahren hatten" http://	OTHER	NOTHING
#WM2018 hier die Prognose #TUN #ENG #TUNENG von http://: http://://t.co/eCmB1ykR2Q	OTHER	NOTHING
Cavs vs GSW  #NBAFinals #WhateverItTakes #Cavs	OTHER	NOTHING
Dass Boris #Johnson überhaupt Aussenminister werden konnte, ist genauso verwunderlich wie das Innenministeramt von #Seehofer. Von Trump mal ganz zu schweigen. Zeit der Schmalspurpopulisten.	OTHER	NOTHING
@name #ARDTour zu wann kann man mit den ersten Doping Ergebnissen rechnen und wie hoch stehen die Chancen das die Tour diesmal "Sauber" bleibt ??	OTHER	NOTHING
Der Nazi-Opa erzählt wieder vom Krieg. #Gauland #Vogelschiss #noafd #nonazis #extremismsucks /@name @name @name @name @name  http://	OTHER	NOTHING
Der #Sommeranfang kann kommen mit dieser Ausstattung! http://	OTHER	NOTHING
